candidate,city,date,event,lat,lng,state
Rand Paul,Baton Rouge,2014-11-10T00:00:00.000Z,GOP unity rally ,30.4507462,-91.154551,LA
Rick Santorum,Lynchburg,2014-11-10T00:00:00.000Z,Foreign policy speech at Liberty University ,37.40088,-79.18449229,VA
Rick Perry,Concord,2014-11-10T00:00:00.000Z,Dartmouth College,43.207106,-71.5370216,NH
Rick Perry,Hanover,2014-11-10T00:00:00.000Z,Dartmouth College,43.7033561,-72.2885718,NH
Rick Perry,Manchester,2014-11-10T00:00:00.000Z,Dartmouth College,42.9956397,-71.4547891,NH
Rick Perry,Keene,2014-11-10T00:00:00.000Z,Dartmouth College,42.933597,-72.2784264,NH
Rick Perry,Myrtle Beach,2014-11-12T00:00:00.000Z,Myrtle Beach Area Chamber of Commerce luncheon ,33.6956461,-78.8900409,SC
Rick Perry,Bluffton,2014-11-12T00:00:00.000Z,Myrtle Beach Area Chamber of Commerce luncheon ,32.2371465,-80.8603868,SC
Rick Perry,Hilton Head Island,2014-11-12T00:00:00.000Z,Myrtle Beach Area Chamber of Commerce luncheon ,32.216316,-80.752608,SC
Ben Carson,Portage,2014-11-13T00:00:00.000Z,Family Valley Church,42.2011538,-85.5800022,MI
Chris Christie,Washington,2014-11-17T00:00:00.000Z,Spoke to incoming House Republicans,38.8949549,-77.0366456,DC
Rick Perry,Sarasota,2014-11-17T00:00:00.000Z,Sarasota Republican Party event ,27.3364347,-82.5306527,FL
Jeb Bush,New York,2014-11-17T00:00:00.000Z,Met with Wall Street donors ,40.7305991,-73.9865812,NY
Rick Santorum,Evanston,2014-11-19T00:00:00.000Z,Foreign policy speech at Northwestern University,42.0447388,-87.6930459,IL
Martin O'Malley,New York,2014-11-19T00:00:00.000Z,Met with potential donors ,40.7305991,-73.9865812,NY
Jeb Bush,Washington,2014-11-20T00:00:00.000Z,Spoke at Foundation for Excellence in Education Reform conference,38.8949549,-77.0366456,DC
Ben Carson,Des Moines,2014-11-22T00:00:00.000Z,Family Leader's annual fundraising banquet,41.5910641,-93.6037149,IA
Marco Rubio,Gonzales,2014-11-22T00:00:00.000Z,Early voting rallies ,29.5040755,-97.44460353,LA
Marco Rubio,Kenner,2014-11-22T00:00:00.000Z,Early voting rallies ,29.9942265,-90.2417806,LA
Ted Cruz,New York,2014-11-24T00:00:00.000Z,Zionist Organization of America's annual dinner; met with Sheldon Adelson privately,40.7305991,-73.9865812,NY
George Pataki,Durham,2014-11-24T00:00:00.000Z,No trip details,43.1340949,-70.9265127,NH
George Pataki,Henniker,2014-11-24T00:00:00.000Z,No trip details,43.1798012,-71.822301,NH
Rick Perry,Lafayette,2014-11-25T00:00:00.000Z,Early voting rallies,30.2240897,-92.0198427,LA
Rick Perry,Baton Rouge,2014-11-25T00:00:00.000Z,Early voting rallies,30.4507462,-91.154551,LA
Rick Perry,Covington,2014-11-25T00:00:00.000Z,Early voting rallies,31.196549,-86.4597236,LA
Jeb Bush,Washington,2014-12-01T00:00:00.000Z,Fundraiser for Bill Cassidy's campaign at NRSC headquarters ,38.8949549,-77.0366456,DC
Bobby Jindal,Dallas,2014-12-02T00:00:00.000Z,Park Cities Republican women event; meetings for America Next,32.7761963,-96.7968994,TX
Hillary Clinton,Washington,2014-12-03T00:00:00.000Z,Georgetown University ,38.8949549,-77.0366456,DC
Rick Santorum,Shreveport,2014-12-03T00:00:00.000Z,Rally,32.4828485,-93.82848316,LA
Bobby Jindal,Washington,2014-12-03T00:00:00.000Z,Foreign Policy Intitative Forum ,38.8949549,-77.0366456,DC
Hillary Clinton,Boston,2014-12-04T00:00:00.000Z,Massachusetts Conference for Women,42.3604823,-71.0595678,MA
Carly Fiorina,Manchester,2014-12-05T00:00:00.000Z,Independent Business Council of New Hampshire event ,42.9956397,-71.4547891,NH
Ben Carson,Henderson,2014-12-05T00:00:00.000Z,Freed-Hardeman University dinner,35.6418311,-88.3949437,TN
Bobby Jindal,Chantilly,2014-12-06T00:00:00.000Z,Annual Virigina Republican Party gathering ,38.8943792,-77.4305118,VA
Rand Paul,Jackson,2014-12-08T00:00:00.000Z,Mississippi Republican Party luncheon,32.4104385,-90.16206489,MS
John Kasich,Phoenix,2014-12-10T00:00:00.000Z,Promoting federal balanced budget amendment,33.4467681,-112.0756724,AZ
Martin O'Malley,Seattle,2014-12-10T00:00:00.000Z,Fundraiser,47.6038321,-122.3300624,WA
Jeb Bush,Columbia,2014-12-15T00:00:00.000Z,Delivered commencement address at University of South Carolina,34.0007493,-81.0343313,SC
Bobby Jindal,Des Moines,2014-12-16T00:00:00.000Z,Polk County Republican Party holiday party,41.5910641,-93.6037149,IA
Bernie Sanders,Altoona,2014-12-16T00:00:00.000Z,Progress Iowa event,41.6441557,-93.4646571,IA
Carly Fiorina,Washington,2014-12-18T00:00:00.000Z,Heritage Foundation speech,38.8949549,-77.0366456,DC
Jeb Bush,Chicago,2014-12-19T00:00:00.000Z,Met with donors and fundraisers ,41.8755546,-87.6244212,IL
Carly Fiorina,Washington,2015-01-06T00:00:00.000Z,Celebration dinner with Frank Guinta,38.8949549,-77.0366456,DC
Chris Christie,Tallahassee,2015-01-06T00:00:00.000Z,Rick Scott inauguration ceremony,30.4380832,-84.2809332,FL
Rick Perry,Tallahassee,2015-01-06T00:00:00.000Z,Rick Scott inauguration ceremony,30.4380832,-84.2809332,FL
Jeb Bush,Greenwich,2015-01-07T00:00:00.000Z,PAC fundraiser ,41.0264862,-73.6284598,CT
Martin O'Malley,Chicago,2015-01-08T00:00:00.000Z,University of Chicago Institute of Chicago,41.8755546,-87.6244212,IL
Chris Christie,Boston,2015-01-08T00:00:00.000Z,Charlie Baker's inauguration ceremony,42.3604823,-71.0595678,MA
Jeb Bush,New York,2015-01-08T00:00:00.000Z,Met with New Jersey Republicans ,40.7305991,-73.9865812,NY
