date,description
2015-03-23T00:00:00.000Z,Ted Cruz - begins campaign
2015-04-07T00:00:00.000Z,Rand Paul - begins campaign
2015-04-12T00:00:00.000Z,Hillary Clinton - begins campaign
2015-04-13T00:00:00.000Z,Marco Rubio - begins campaign
2015-04-30T00:00:00.000Z,Bernie Sanders - begins campaign
2015-05-03T00:00:00.000Z,Ben Carson - begins campaign
2015-05-04T00:00:00.000Z,Carly Fiorina - begins campaign
2015-05-05T00:00:00.000Z,Mike Huckabee - begins campaign
2015-05-27T00:00:00.000Z,Rick Santorum - begins campaign
2015-05-28T00:00:00.000Z,George Pataki - begins campaign
2015-05-30T00:00:00.000Z,Martin O'Malley - begins campaign
2015-06-01T00:00:00.000Z,Lindsey Graham - begins campaign
2015-06-03T00:00:00.000Z,Lincoln Chafee - begins campaign
2015-06-04T00:00:00.000Z,Rick Perry - begins campaign
2015-06-15T00:00:00.000Z,Jeb Bush - begins campaign
2015-06-16T00:00:00.000Z,Donald Trump - begins campaign
2015-06-24T00:00:00.000Z,Bobby Jindall - begins campaign
2015-06-30T00:00:00.000Z,Chris Christie - begins campaign
2015-07-02T00:00:00.000Z,Jim Webb - begins campaign
2015-07-13T00:00:00.000Z,Scott Walker - begins campaign
2015-07-21T00:00:00.000Z,John Kasich - begins campaign
2015-07-30T00:00:00.000Z,Jim Gilmore - begins campaign
2015-08-06T00:00:00.000Z,Fox News Debate (R) 
2015-09-09T00:00:00.000Z,Lawerence Lessig - begins campaign
2015-09-11T00:00:00.000Z,Rick Perry - ends campaign
2015-09-16T00:00:00.000Z,CNN Debate (R) 
2015-09-21T00:00:00.000Z,Scott Walker - ends campaign
2015-10-13T00:00:00.000Z,CNN Debate (D) 
2015-10-20T00:00:00.000Z,Jim Webb - ends campaign
2015-10-23T00:00:00.000Z,Lawerence Lessig - ends campaign
2015-10-28T00:00:00.000Z,MSNBC Debate (R) 
2015-11-02T00:00:00.000Z,Lincoln Chafee - ends campaign
2015-11-10T00:00:00.000Z,Fox Business/WSJ Debate (R) 
2015-11-14T00:00:00.000Z,CBS News Debate (D) 
2015-11-17T00:00:00.000Z,Bobby Jindal - ends campaign
2015-12-15T00:00:00.000Z,CNN Debate (R) 
2015-12-19T00:00:00.000Z,ABC News (D) 
2015-12-21T00:00:00.000Z,Lindsey Graham - ends campaign
2015-12-29T00:00:00.000Z,George Pataki - ends campaign
2016-01-14T00:00:00.000Z,Fox Business Debate (R) 
2016-01-17T00:00:00.000Z,NBC News (D) 
2016-01-25T00:00:00.000Z,CNN IowaTown Hall (D) 
2016-01-28T00:00:00.000Z,Fox News Debate (R) 
2016-02-01T00:00:00.000Z,IA-Caucus; Martin O'Malley - lends campaign; Mike Huckabee- ends campaign
2016-02-03T00:00:00.000Z,Rick Santorum- ends campaign; Rand Paul- ends campaign
2016-02-04T00:00:00.000Z,MSNBC Debate (D) 
2016-02-06T00:00:00.000Z,ABC News/IJ Review Debate (R) 
2016-02-09T00:00:00.000Z,NH-Primary
2016-02-10T00:00:00.000Z,Chirs Christie - ends campaign; Carly Fiorina- ends campaign
2016-02-11T00:00:00.000Z,PBS Debate (D) 
2016-02-12T00:00:00.000Z,Jim Gilmore - ends campaign
2016-02-13T00:00:00.000Z,CBS News Debate (R) 
2016-02-20T00:00:00.000Z,SC-Primary (R); NV-Caucus (D); Jeb Bush - ends campaign
2016-02-23T00:00:00.000Z,NV-Caucus (R)
2016-02-25T00:00:00.000Z,CNN Debate (R) 
2016-02-27T00:00:00.000Z,SC-Primary (D) 
2016-03-01T00:00:00.000Z,Super Tuesday : AL-Primary ; AK-Caucus (R) ; AS-Caucus (D); AR-Primary; CO-Caucus; Democrats Abroad ; GA-Primary; MA-Primary; MN-Caucus; ND-Caucus (R) ; TN-Primary; TX-Primary; VT-Primary; VA-Primary
2016-03-03T00:00:00.000Z,Fox News Debate (R) 
2016-03-04T00:00:00.000Z,Ben Carson - ends campaign
2016-03-05T00:00:00.000Z,KS-Caucus; KY-Caucus (R) ; LA-Primary; ME-Caucus (R) ; NE-Caucus (D)
2016-03-06T00:00:00.000Z,ME-Caucus (D); PR-Caucus (R) ; CNN Debate (D) 
2016-03-08T00:00:00.000Z,HI-Caucus  (R) ; ID-Primary  (R) ; MI-Primary; MS-Primary
2016-03-09T00:00:00.000Z,Univision Debate (D) 
2016-03-10T00:00:00.000Z,VI-Caucus (R) ; CNN Debate (R) 
2016-03-12T00:00:00.000Z,GU-Convention (R) ; MP-Caucus (D); DC-Caucus (R) ; WY-Caucus (R) 
2016-03-15T00:00:00.000Z,FL-Primary; IL-Primary; MO-Primary; NC-Primary; MP-Caucus (R) ; OH-Primary; Marco Rubio- ends campaign
2016-03-22T00:00:00.000Z,AS-Convention (R) ; AZ-Primary; ID-Caucus (D); UT-Primary
2016-03-26T00:00:00.000Z,AK-Caucus (D); HI-Caucus (D); WA-Caucus (D)
2016-04-01T00:00:00.000Z,ND-Caucus (R)
2016-04-05T00:00:00.000Z,WI-Primary
2016-04-09T00:00:00.000Z,WY-Caucus (D)
2016-04-14T00:00:00.000Z,CNN Debate (D) 
2016-04-19T00:00:00.000Z,NY-Primary
2016-04-26T00:00:00.000Z,CT-Primary; DE-Primary; MD-Primary; PA-Primary; RI-Primary
2016-05-03T00:00:00.000Z,IN-Primary; Ted Cruz - ends campaign
2016-05-04T00:00:00.000Z,John Kasich - ends campaign
